form,deprel,deps,misc,grafo,text,word_join,word_join_start,word_join_end,index_e,sentence,#sentence_original
bacias,obl,B=BACIA,"{'end_char': '230564', 'grafo': '#basin', 'start_char': '230558'}",#basin,"A taquidrita, sal altamente solúvel até mesmo    água que retira    ar, em Sergipe, tem 100 metros de espessura, embora normalmente apareça apenas em camadas e veios cen-timétricos     demais bacias evaporíticas em que eu já havia estado..", bacias,192,198,32.0,463,2143
evaporitos,nmod,B=ROCHA,"{'end_char': '232262', 'grafo': '#evaporite', 'start_char': '232252'}",#evaporite,"Alguns       formaram a equipe básica de Geologia    Petromisa, outros continuam    Petrobras até hoje, utilizando seus conhecimentos de evaporitos para ajudar a encontrar petróleo     bacias    margem continental..", evaporitos,137,147,19.0,464,2160
petróleo,obj,B=FLUIDODATERRA_i,"{'end_char': '232295', 'grafo': '#oil', 'start_char': '232287'}",#oil,"Alguns       formaram a equipe básica de Geologia    Petromisa, outros continuam    Petrobras até hoje, utilizando seus conhecimentos de evaporitos para ajudar a encontrar petróleo     bacias    margem continental..", petróleo,172,180,24.0,464,2160
bacias,obl,B=BACIA,"{'end_char': '232306', 'grafo': '#basin', 'start_char': '232300'}",#basin,"Alguns       formaram a equipe básica de Geologia    Petromisa, outros continuam    Petrobras até hoje, utilizando seus conhecimentos de evaporitos para ajudar a encontrar petróleo     bacias    margem continental..", bacias,185,191,25.0,464,2160
Bacia,obl,B=BACIA,"{'end_char': '232505', 'grafo': '#BASE_CD_BACIA_030', 'start_char': '232500'}",#BASE_CD_BACIA_030,"Szatmari – Sim, mas foi em 1974, quando tra-balhávamos com a Bacia    Amazonas (que         época ainda incluía a área    Bacia    Solimões), que essa relação assumiu uma importância muito grande..", Bacia Amazonas,61,78,13.0,465,2162
Bacia,nmod,B=BACIA,"{'end_char': '232566', 'grafo': '#BASE_CD_BACIA_020', 'start_char': '232561'}",#BASE_CD_BACIA_020,"Szatmari – Sim, mas foi em 1974, quando tra-balhávamos com a Bacia    Amazonas (que         época ainda incluía a área    Bacia    Solimões), que essa relação assumiu uma importância muito grande..", Bacia Solimões,122,139,22.0,465,2162
discordância,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '232704', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '232692'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"Ao criar um mapa paleo-geológico    subafloramento    discordância pré-westphaliana, abaixo    seqüência salífera, apareceram faixas de direção NE-SW cruzando a bacia, verdadeiros trendes estruturais há muito tempo procurados       exploracionistas dedicados   busca    petróleo amazônico..", discordância,54,66,6.0,466,2163
pré-westphaliana,amod,B=UNIDADE_CRONO,"{'end_char': '232721', 'grafo': '#Westphalian_Age', 'start_char': '232705'}",#Westphalian_Age,"Ao criar um mapa paleo-geológico    subafloramento    discordância pré-westphaliana, abaixo    seqüência salífera, apareceram faixas de direção NE-SW cruzando a bacia, verdadeiros trendes estruturais há muito tempo procurados       exploracionistas dedicados   busca    petróleo amazônico..", pré-westphaliana,67,83,7.0,466,2163
bacia,obj,B=BACIA,"{'end_char': '232804', 'grafo': '#basin', 'start_char': '232799'}",#basin,"Ao criar um mapa paleo-geológico    subafloramento    discordância pré-westphaliana, abaixo    seqüência salífera, apareceram faixas de direção NE-SW cruzando a bacia, verdadeiros trendes estruturais há muito tempo procurados       exploracionistas dedicados   busca    petróleo amazônico..", bacia,161,166,20.0,466,2163
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '232916', 'grafo': '#oil', 'start_char': '232908'}",#oil,"Ao criar um mapa paleo-geológico    subafloramento    discordância pré-westphaliana, abaixo    seqüência salífera, apareceram faixas de direção NE-SW cruzando a bacia, verdadeiros trendes estruturais há muito tempo procurados       exploracionistas dedicados   busca    petróleo amazônico..", petróleo,270,278,32.0,466,2163
Bacia,obl,B=BACIA,"{'end_char': '233129', 'grafo': '#BASE_CD_BACIA_030', 'start_char': '233124'}",#BASE_CD_BACIA_030,"época, pesquisadores franceses tinham feito um trabalho sobre os Andes paleo-zóicos    vizinho Peru, e sugerimos então que a deformação herciniana lá presente havia se pro-longado até a Bacia    Amazonas, criando estruturas dobradas..", Bacia Amazonas,186,203,29.0,467,2164
estruturas,obj,B=ESTRUTURA_FÍSICA,"{'end_char': '233161', 'grafo': '#geological_structure', 'start_char': '233151'}",#geological_structure,"época, pesquisadores franceses tinham feito um trabalho sobre os Andes paleo-zóicos    vizinho Peru, e sugerimos então que a deformação herciniana lá presente havia se pro-longado até a Bacia    Amazonas, criando estruturas dobradas..", estruturas,213,223,33.0,467,2164
estruturas,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '233613', 'grafo': '#geological_structure', 'start_char': '233603'}",#geological_structure,"A existência        estruturas    Bacia    Amazonas era uma potencial novidade, porque aquele tipo de bacia era considerado um ambiente tectônico desprovido de estruturação..", estruturas,20,30,2.0,468,2167
Bacia,nmod,B=BACIA,"{'end_char': '233622', 'grafo': '#BASE_CD_BACIA_030', 'start_char': '233617'}",#BASE_CD_BACIA_030,"A existência        estruturas    Bacia    Amazonas era uma potencial novidade, porque aquele tipo de bacia era considerado um ambiente tectônico desprovido de estruturação..", Bacia Amazonas,34,51,3.0,468,2167
bacia,nmod,B=BACIA,"{'end_char': '233690', 'grafo': '#basin', 'start_char': '233685'}",#basin,"A existência        estruturas    Bacia    Amazonas era uma potencial novidade, porque aquele tipo de bacia era considerado um ambiente tectônico desprovido de estruturação..", bacia,102,107,14.0,468,2167
bacias,nmod,B=BACIA,"{'end_char': '233825', 'grafo': '#basin', 'start_char': '233819'}",#basin,"Até então, a descrença    possibilidade de estruturação     bacias paleozóicas era muito grande..", bacias,60,66,8.0,469,2168
paleozóicas,amod,B=UNIDADE_CRONO,"{'end_char': '233837', 'grafo': '#Paleozoic', 'start_char': '233826'}",#Paleozoic,"Até então, a descrença    possibilidade de estruturação     bacias paleozóicas era muito grande..", paleozóicas,67,78,9.0,469,2168
discordância,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '233908', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '233896'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"Lembro que quando mostramos o mapa    discordância, onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", discordância,38,50,6.0,470,2169
estruturas,obj,B=ESTRUTURA_FÍSICA,"{'end_char': '233938', 'grafo': '#geological_structure', 'start_char': '233928'}",#geological_structure,"Lembro que quando mostramos o mapa    discordância, onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", estruturas,70,80,11.0,470,2169
Juruá,nmod,B=CAMPO,"{'end_char': '233947', 'grafo': '#CAMP_CD_CAMPO_0575', 'start_char': '233942'}",#CAMP_CD_CAMPO_0575,"Lembro que quando mostramos o mapa    discordância, onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", Juruá,84,89,12.0,470,2169
bacia,nmod,B=BACIA,"{'end_char': '234017', 'grafo': '#basin', 'start_char': '234012'}",#basin,"Lembro que quando mostramos o mapa    discordância, onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", bacia,154,159,25.0,470,2169
campo,obj,B=CAMPO,"{'end_char': '234327', 'grafo': '#field', 'start_char': '234322'}",#field,"Uma      , perfurada pouco tempo depois, em 1978, se tornaria o campo de gás de Juruá..", campo,64,69,13.0,471,2173
gás,nmod,B=FLUIDODATERRA_i,"{'end_char': '234334', 'grafo': '#gas', 'start_char': '234331'}",#gas,"Uma      , perfurada pouco tempo depois, em 1978, se tornaria o campo de gás de Juruá..", gás,73,76,15.0,471,2173
Juruá,nmod,B=CAMPO,"{'end_char': '234343', 'grafo': '#CAMP_CD_CAMPO_0575', 'start_char': '234338'}",#CAMP_CD_CAMPO_0575,"Uma      , perfurada pouco tempo depois, em 1978, se tornaria o campo de gás de Juruá..", Juruá,80,85,17.0,471,2173
Recôncavo-Tucano,obl,B=BACIA,"{'end_char': '237068', 'grafo': '#BASE_CD_BACIA_215,#BASE_CD_BACIA_220,#BASE_CD_BACIA_230,#BASE_CD_BACIA_240', 'start_char': '237052'}","#BASE_CD_BACIA_215,#BASE_CD_BACIA_220,#BASE_CD_BACIA_230,#BASE_CD_BACIA_240","Já    primeira turma ela aparecera,    Recôncavo-Tucano e em Sergipe-Alagoas, mas muito mais forte    segunda..", Recôncavo-Tucano,39,55,6.0,472,2194
Sergipe-Alagoas,conj,B=BACIA,"{'end_char': '237089', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '237074'}",#BASE_CD_BACIA_116,"Já    primeira turma ela aparecera,    Recôncavo-Tucano e em Sergipe-Alagoas, mas muito mais forte    segunda..", Sergipe-Alagoas,61,76,9.0,472,2194
bacia,obl,B=BACIA,"{'end_char': '237290', 'grafo': '#basin', 'start_char': '237285'}",#basin,"Em torno de qualquer bacia, os terrenos pré-cambrianos apareciam amplamente recortados por falhas transcorrentes, definidas       geólogos estruturalistas dedicados    Pré-Cambriano, mas que terminavam    borda     bacias, e fim!", bacia,21,26,4.0,473,2197
pré-cambrianos,amod,B=UNIDADE_CRONO,"{'end_char': '237318', 'grafo': '#Cambrian', 'start_char': '237304'}",#Cambrian,"Em torno de qualquer bacia, os terrenos pré-cambrianos apareciam amplamente recortados por falhas transcorrentes, definidas       geólogos estruturalistas dedicados    Pré-Cambriano, mas que terminavam    borda     bacias, e fim!", pré-cambrianos,40,54,8.0,473,2197
falhas,obl:agent,B=ESTRUTURA_FÍSICA,"{'end_char': '237361', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '237355'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"Em torno de qualquer bacia, os terrenos pré-cambrianos apareciam amplamente recortados por falhas transcorrentes, definidas       geólogos estruturalistas dedicados    Pré-Cambriano, mas que terminavam    borda     bacias, e fim!", falhas,91,97,13.0,473,2197
Pré-Cambriano,obl,B=UNIDADE_CRONO,"{'end_char': '237445', 'grafo': '#Cambrian', 'start_char': '237432'}",#Cambrian,"Em torno de qualquer bacia, os terrenos pré-cambrianos apareciam amplamente recortados por falhas transcorrentes, definidas       geólogos estruturalistas dedicados    Pré-Cambriano, mas que terminavam    borda     bacias, e fim!", Pré-Cambriano,168,181,20.0,473,2197
bacias,nmod,B=BACIA,"{'end_char': '237485', 'grafo': '#basin', 'start_char': '237479'}",#basin,"Em torno de qualquer bacia, os terrenos pré-cambrianos apareciam amplamente recortados por falhas transcorrentes, definidas       geólogos estruturalistas dedicados    Pré-Cambriano, mas que terminavam    borda     bacias, e fim!", bacias,215,221,26.0,473,2197
Mesozóico,obl,B=UNIDADE_CRONO,"{'end_char': '237507', 'grafo': '#Mesozoic', 'start_char': '237498'}",#Mesozoic,"Mesozóico, aquilo tudo abriu como falha normal e só podia ter falha normal!", Mesozóico,0,9,0.0,474,2198
falha,xcomp,B=ESTRUTURA_FÍSICA,"{'end_char': '237537', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '237532'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"Mesozóico, aquilo tudo abriu como falha normal e só podia ter falha normal!", falha,34,39,6.0,474,2198
falha,obj,B=ESTRUTURA_FÍSICA,"{'end_char': '237565', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '237560'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"Mesozóico, aquilo tudo abriu como falha normal e só podia ter falha normal!", falha,62,67,12.0,474,2198
embasamento,nmod,B=UNIDADE_LITO,"{'end_char': '237627', 'grafo': '#SD_000', 'start_char': '237616'}",#SD_000,"Esse tipo de separação não salutar entre embasamento e bacia, nós lutamos para eliminar..", embasamento,41,52,7.0,475,2199
bacia,conj,B=BACIA,"{'end_char': '237635', 'grafo': '#basin', 'start_char': '237630'}",#basin,"Esse tipo de separação não salutar entre embasamento e bacia, nós lutamos para eliminar..", bacia,55,60,9.0,475,2199
falhas,nsubj,B=ESTRUTURA_FÍSICA,"{'end_char': '237683', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '237677'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"As grandes falhas transcorrentes acabaram entrando     bacias, muitas       não eram    Pré-Cambriano, mas sim falhas mesozóicas mesmo, que afetavam o terreno antigo por reativação..", falhas,11,17,2.0,476,2200
bacias,obl,B=BACIA,"{'end_char': '237727', 'grafo': '#basin', 'start_char': '237721'}",#basin,"As grandes falhas transcorrentes acabaram entrando     bacias, muitas       não eram    Pré-Cambriano, mas sim falhas mesozóicas mesmo, que afetavam o terreno antigo por reativação..", bacias,55,61,6.0,476,2200
Pré-Cambriano,conj,B=UNIDADE_CRONO,"{'end_char': '237767', 'grafo': '#Cambrian', 'start_char': '237754'}",#Cambrian,"As grandes falhas transcorrentes acabaram entrando     bacias, muitas       não eram    Pré-Cambriano, mas sim falhas mesozóicas mesmo, que afetavam o terreno antigo por reativação..", Pré-Cambriano,88,101,11.0,476,2200
falhas,conj,B=ESTRUTURA_FÍSICA,"{'end_char': '237783', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '237777'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"As grandes falhas transcorrentes acabaram entrando     bacias, muitas       não eram    Pré-Cambriano, mas sim falhas mesozóicas mesmo, que afetavam o terreno antigo por reativação..", falhas,111,117,15.0,476,2200
mesozóicas,amod,B=UNIDADE_CRONO,"{'end_char': '237794', 'grafo': '#Mesozoic', 'start_char': '237784'}",#Mesozoic,"As grandes falhas transcorrentes acabaram entrando     bacias, muitas       não eram    Pré-Cambriano, mas sim falhas mesozóicas mesmo, que afetavam o terreno antigo por reativação..", mesozóicas,118,128,16.0,476,2200
Bacia,obl,B=BACIA,"{'end_char': '238124', 'grafo': '#BASE_CD_BACIA_240', 'start_char': '238119'}",#BASE_CD_BACIA_240,"Particularmente    Bacia    Recôncavo, o pessoal não concebia a existência de “com-pressão” e era muito difícil explicar a presença de seções repetidas em poços perfurados     proximidades    Falha de Mata-Catu..", Bacia Recôncavo,19,37,1.0,477,2205
poços,obl,B=POÇO,"{'end_char': '238260', 'grafo': '#well', 'start_char': '238255'}",#well,"Particularmente    Bacia    Recôncavo, o pessoal não concebia a existência de “com-pressão” e era muito difícil explicar a presença de seções repetidas em poços perfurados     proximidades    Falha de Mata-Catu..", poços,155,160,25.0,477,2205
Falha,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '238297', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '238292'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"Particularmente    Bacia    Recôncavo, o pessoal não concebia a existência de “com-pressão” e era muito difícil explicar a presença de seções repetidas em poços perfurados     proximidades    Falha de Mata-Catu..", Falha,192,197,28.0,477,2205
bacias,nmod,B=BACIA,"{'end_char': '238400', 'grafo': '#BASE_CD_BACIA_215,#BASE_CD_BACIA_220,#BASE_CD_BACIA_230,#BASE_CD_BACIA_240', 'start_char': '238394'}","#BASE_CD_BACIA_215,#BASE_CD_BACIA_220,#BASE_CD_BACIA_230,#BASE_CD_BACIA_240","O modelo    microplaca integrou, de modo simples, todos os fatos geológicos     bacias    Recôncavo-Tucano, a oeste, e Jacuípe e Sergipe-Alagoas, a leste..", bacias Recôncavo-Tucano,80,106,13.0,478,2206
Jacuípe,conj,B=BACIA,"{'end_char': '238440', 'grafo': '#BASE_CD_BACIA_236', 'start_char': '238433'}",#BASE_CD_BACIA_236,"O modelo    microplaca integrou, de modo simples, todos os fatos geológicos     bacias    Recôncavo-Tucano, a oeste, e Jacuípe e Sergipe-Alagoas, a leste..", Jacuípe,119,126,20.0,478,2206
Sergipe-Alagoas,conj,B=BACIA,"{'end_char': '238458', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '238443'}",#BASE_CD_BACIA_116,"O modelo    microplaca integrou, de modo simples, todos os fatos geológicos     bacias    Recôncavo-Tucano, a oeste, e Jacuípe e Sergipe-Alagoas, a leste..", Sergipe-Alagoas,129,144,22.0,478,2206
estruturas,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '238599', 'grafo': '#geological_structure', 'start_char': '238589'}",#geological_structure,"Ao estudar o limite norte    microplaca, que inclui o Gráben de Jatobá, pudemos perceber a interessante relação entre estruturas antigas, pré-cambrianas, e sua reativação durante o Mesozóico..", estruturas,118,128,20.0,479,2207
pré-cambrianas,conj,B=UNIDADE_CRONO,"{'end_char': '238623', 'grafo': '#Cambrian', 'start_char': '238609'}",#Cambrian,"Ao estudar o limite norte    microplaca, que inclui o Gráben de Jatobá, pudemos perceber a interessante relação entre estruturas antigas, pré-cambrianas, e sua reativação durante o Mesozóico..", pré-cambrianas,138,152,23.0,479,2207
Mesozóico,nmod,B=UNIDADE_CRONO,"{'end_char': '238661', 'grafo': '#Mesozoic', 'start_char': '238652'}",#Mesozoic,"Ao estudar o limite norte    microplaca, que inclui o Gráben de Jatobá, pudemos perceber a interessante relação entre estruturas antigas, pré-cambrianas, e sua reativação durante o Mesozóico..", Mesozóico,181,190,30.0,479,2207
Bacia,root,B=BACIA,"{'end_char': '239830', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '239825'}",#BASE_CD_BACIA_281,"O primeiro trabalho foi sobre a Bacia de Campos, quando se modelou, com um sistema engenhoso, a reativação de falhas    embasamento e sua influência    movimentação     evaporitos..", Bacia de Campos,32,47,6.0,480,2214
falhas,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '239909', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '239903'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"O primeiro trabalho foi sobre a Bacia de Campos, quando se modelou, com um sistema engenhoso, a reativação de falhas    embasamento e sua influência    movimentação     evaporitos..", falhas,110,116,22.0,480,2214
embasamento,nmod,B=UNIDADE_LITO,"{'end_char': '239924', 'grafo': '#SD_000', 'start_char': '239913'}",#SD_000,"O primeiro trabalho foi sobre a Bacia de Campos, quando se modelou, com um sistema engenhoso, a reativação de falhas    embasamento e sua influência    movimentação     evaporitos..", embasamento,120,131,23.0,480,2214
evaporitos,nmod,B=ROCHA,"{'end_char': '239972', 'grafo': '#evaporite', 'start_char': '239962'}",#evaporite,"O primeiro trabalho foi sobre a Bacia de Campos, quando se modelou, com um sistema engenhoso, a reativação de falhas    embasamento e sua influência    movimentação     evaporitos..", evaporitos,169,179,28.0,480,2214
Santos,nmod,B=BACIA,"{'end_char': '240464', 'grafo': '#BASE_CD_BACIA_316', 'start_char': '240458'}",#BASE_CD_BACIA_316,"Durante todo esse tempo, orientei diversos trabalhos executados    Edise, com destaque para um mapeamento sísmico detalhado    pacote de sal em Santos e Campos..", Santos,144,150,22.0,481,2218
Campos,conj,B=BACIA,"{'end_char': '240473', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '240467'}",#BASE_CD_BACIA_281,"Durante todo esse tempo, orientei diversos trabalhos executados    Edise, com destaque para um mapeamento sísmico detalhado    pacote de sal em Santos e Campos..", Campos,153,159,24.0,481,2218
estruturas,obj,B=ESTRUTURA_FÍSICA,"{'end_char': '240518', 'grafo': '#geological_structure', 'start_char': '240508'}",#geological_structure,"A utilização onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", estruturas,31,41,5.0,482,2219
Juruá,nmod,B=CAMPO,"{'end_char': '240527', 'grafo': '#CAMP_CD_CAMPO_0575', 'start_char': '240522'}",#CAMP_CD_CAMPO_0575,"A utilização onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", Juruá,45,50,6.0,482,2219
bacia,nmod,B=BACIA,"{'end_char': '240597', 'grafo': '#basin', 'start_char': '240592'}",#basin,"A utilização onde apareciam as estruturas    Juruá, recebemos o argumento de que deveria se tratar de uma borda    bacia, que não poderia ser algo de origem tectônica..", bacia,115,120,19.0,482,2219
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '242127', 'grafo': '#oil', 'start_char': '242119'}",#oil,"Após a retomada     estudos regionais, fizemos uma apresentação sobre a ocorrência    petróleo     bacias    África Ocidental e    Brasil..", petróleo,86,94,12.0,483,2234
bacias,obl,B=BACIA,"{'end_char': '242138', 'grafo': '#basin', 'start_char': '242132'}",#basin,"Após a retomada     estudos regionais, fizemos uma apresentação sobre a ocorrência    petróleo     bacias    África Ocidental e    Brasil..", bacias,99,105,13.0,483,2234
bacias,nmod,B=BACIA,"{'end_char': '242517', 'grafo': '#basin', 'start_char': '242511'}",#basin,"Considerando o mecanismo assimétrico de rifteamento, como parece ter sido a separação    Gondwana (e aí entra uma distribuição desigual de bacias lacustres com as rochas geradoras), nossa percepção sempre foi de que os dois continentes “disputaram” fortemente os recursos petrolíferos, de tal modo que onde um o tem em abundância,    outro faltará, e vice-versa..", bacias,139,145,22.0,484,2237
rochas,nmod,B=ELEMENTO_PETRO,"{'end_char': '242541', 'grafo': '#source_rock', 'start_char': '242535'}",#source_rock,"Considerando o mecanismo assimétrico de rifteamento, como parece ter sido a separação    Gondwana (e aí entra uma distribuição desigual de bacias lacustres com as rochas geradoras), nossa percepção sempre foi de que os dois continentes “disputaram” fortemente os recursos petrolíferos, de tal modo que onde um o tem em abundância,    outro faltará, e vice-versa..", rochas geradoras,163,179,26.0,484,2237
Bacia,obj,B=BACIA,"{'end_char': '243551', 'grafo': '#BASE_CD_BACIA_316', 'start_char': '243546'}",#BASE_CD_BACIA_316,"Szatmari – Entender a Bacia de Santos foi sempre um     maiores desafios, pois quanto mais se acumulam conhecimentos sobre a Bacia de Campos, mais você quer entender aquela imensa bacia que está ali    lado..", Bacia de Santos,22,37,4.0,485,2242
Bacia,nmod,B=BACIA,"{'end_char': '243654', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '243649'}",#BASE_CD_BACIA_281,"Szatmari – Entender a Bacia de Santos foi sempre um     maiores desafios, pois quanto mais se acumulam conhecimentos sobre a Bacia de Campos, mais você quer entender aquela imensa bacia que está ali    lado..", Bacia de Campos,125,140,21.0,485,2242
bacia,obj,B=BACIA,"{'end_char': '243709', 'grafo': '#basin', 'start_char': '243704'}",#basin,"Szatmari – Entender a Bacia de Santos foi sempre um     maiores desafios, pois quanto mais se acumulam conhecimentos sobre a Bacia de Campos, mais você quer entender aquela imensa bacia que está ali    lado..", bacia,180,185,31.0,485,2242
vulcânicas,nmod,B=ROCHA,"{'end_char': '244579', 'grafo': '#volcanic_rock', 'start_char': '244569'}",#volcanic_rock,"Por isso, estamos estudando mais o papel     vulcânicas, pois agora é difícil trabalhar em uma bacia petrolífera onde elas não apareçam..", vulcânicas,45,55,8.0,486,2249
bacia,obl,B=BACIA,"{'end_char': '244624', 'grafo': '#basin', 'start_char': '244619'}",#basin,"Por isso, estamos estudando mais o papel     vulcânicas, pois agora é difícil trabalhar em uma bacia petrolífera onde elas não apareçam..", bacia,95,100,17.0,486,2249
vulcânicas,nsubj,B=ROCHA,"{'end_char': '244812', 'grafo': '#volcanic_rock', 'start_char': '244802'}",#volcanic_rock,"Agora sabemos que as vulcânicas podem ajudar fazendo trapas,       , servindo de selante    acumulações sotopostas..", vulcânicas,21,31,4.0,487,2252
trapas,obj,B=ELEMENTO_PETRO,"{'end_char': '244840', 'grafo': '#seal', 'start_char': '244834'}",#seal,"Agora sabemos que as vulcânicas podem ajudar fazendo trapas,       , servindo de selante    acumulações sotopostas..", trapas,53,59,8.0,487,2252
vulcânicas,obl,B=ROCHA,"{'end_char': '244950', 'grafo': '#volcanic_rock', 'start_char': '244940'}",#volcanic_rock,Mas certamente ainda não existe sobre as vulcânicas o mesmo cabedal de conhecimentos que temos sobre as rochas sedimentares.., vulcânicas,41,51,7.0,488,2253
rochas,obl:arg,B=ROCHA,"{'end_char': '245009', 'grafo': '#sedimentary_rock', 'start_char': '245003'}",#sedimentary_rock,Mas certamente ainda não existe sobre as vulcânicas o mesmo cabedal de conhecimentos que temos sobre as rochas sedimentares.., rochas sedimentares,104,123,17.0,488,2253
rochas,nmod,B=ROCHA,"{'end_char': '245230', 'grafo': '#rock', 'start_char': '245224'}",#rock,"Acho muito significativo que já tenhamos alguns técnicos dentro    Empresa se dedicando    mapeamento     ocorrências de rochas         em nossas bacias e seu efeito sobre a ocorrência de petróleo, aprimorando técnicas de reconhecimento de diques em linhas sísmicas..", rochas,121,127,15.0,489,2255
bacias,nmod,B=BACIA,"{'end_char': '245255', 'grafo': '#basin', 'start_char': '245249'}",#basin,"Acho muito significativo que já tenhamos alguns técnicos dentro    Empresa se dedicando    mapeamento     ocorrências de rochas         em nossas bacias e seu efeito sobre a ocorrência de petróleo, aprimorando técnicas de reconhecimento de diques em linhas sísmicas..", bacias,146,152,18.0,489,2255
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '245299', 'grafo': '#oil', 'start_char': '245291'}",#oil,"Acho muito significativo que já tenhamos alguns técnicos dentro    Empresa se dedicando    mapeamento     ocorrências de rochas         em nossas bacias e seu efeito sobre a ocorrência de petróleo, aprimorando técnicas de reconhecimento de diques em linhas sísmicas..", petróleo,188,196,26.0,489,2255
folhelhos,nmod,B=ROCHA,"{'end_char': '246146', 'grafo': '#shale', 'start_char': '246137'}",#shale,Mobilizamos as equipes     laboratórios regionais para a coleta de folhelhos     várias bacias e as enviamos sem mencionar a proveniência específica de cada uma.., folhelhos,67,76,9.0,490,2263
bacias,nmod,B=BACIA,"{'end_char': '246164', 'grafo': '#basin', 'start_char': '246158'}",#basin,Mobilizamos as equipes     laboratórios regionais para a coleta de folhelhos     várias bacias e as enviamos sem mencionar a proveniência específica de cada uma.., bacias,88,94,11.0,490,2263
folhelhos,appos,B=ROCHA,"{'end_char': '246329', 'grafo': '#shale', 'start_char': '246320'}",#shale,"Foi certamente a primeira vez que o método foi usado       escala temporal e de área: folhelhos    Devoniano    Terciá-rio, provenientes    Amazônia   Bacia de Campos..", folhelhos,86,95,16.0,491,2264
Devoniano,nmod,B=UNIDADE_CRONO,"{'end_char': '246342', 'grafo': '#Devonian', 'start_char': '246333'}",#Devonian,"Foi certamente a primeira vez que o método foi usado       escala temporal e de área: folhelhos    Devoniano    Terciá-rio, provenientes    Amazônia   Bacia de Campos..", Devoniano,99,108,17.0,491,2264
Bacia,nmod,B=BACIA,"{'end_char': '246390', 'grafo': '#BASE_CD_BACIA_281', 'start_char': '246385'}",#BASE_CD_BACIA_281,"Foi certamente a primeira vez que o método foi usado       escala temporal e de área: folhelhos    Devoniano    Terciá-rio, provenientes    Amazônia   Bacia de Campos..", Bacia de Campos,151,166,22.0,491,2264
óleo,nsubj,B=FLUIDODATERRA_i,"{'end_char': '246950', 'grafo': '#oil', 'start_char': '246946'}",#oil,"mesma forma, os metais que aparecem igualmente em frações ínfimas e que             o óleo desde sua rocha geradora ainda são pouco estudados..", óleo,86,90,14.0,492,2271
rocha,nmod,B=ELEMENTO_PETRO,"{'end_char': '246966', 'grafo': '#source_rock', 'start_char': '246961'}",#source_rock,"mesma forma, os metais que aparecem igualmente em frações ínfimas e que             o óleo desde sua rocha geradora ainda são pouco estudados..", rocha geradora,101,115,17.0,492,2271
bacias,obj,B=BACIA,"{'end_char': '247121', 'grafo': '#basin', 'start_char': '247115'}",#basin,"Ao estudarmos bacias tão importantes como Campos e Santos, é hora de ob-termos informações mais completas também sobre os metais, compilarmos um banco de dados sobre o assunto..", bacias,14,20,2.0,493,2273
